OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
12,"Watch, pocket",METAL BODY/ ENAMEL OR PORCELAIN FACE/ GLASS CRYSTAL,http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.thumb.png,12,24,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
13,"Watch, pocket",STEEL CASING/ PORCELAIN FACE,http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.thumb.png,13,25,Manufacturer,46.818187999999999,8.227511999999999,52,R,Europe
14,Headlamp,SHEET AND CAST METAL (IRON?)/ GLASS LENS,http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.thumb.png,14,26,Manufacturer,41.878113599999999,-87.629798199999996,76,R,The United States
15,"Board, order",CAST IRON BODY AND MOUNT/ GLASS LENSES/ WOODEN ARM ATTACHMENT,http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.thumb.png,15,27,Manufacturer,45.501688899999998,-73.567256000000000,76,R,Canada
16,"Valve, inner tube",BRASS/ FERROUS METAL,http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.thumb.png,16,30,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
17,"Therapy machine, cobalt","METAL, SYNTHETIC & WOOD COMPONENTS.",http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.thumb.png,17,31,Manufacturer,45.421529600000000,-75.697193099999993,76,R,Canada
18,Control unit,"METAL, SYNTHETIC & WOOD COMPONENTS.",http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.thumb.png,18,32,Manufacturer,45.421529600000000,-75.697193099999993,76,R,Canada
19,Camera,Cast steel body/ Glass lens element/ Synthetic/ Leather box? with plush lining.,http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.thumb.png,19,37,Manufacturer,43.161029999999997,-77.610921899999994,76,R,The United States
20,Camera,METAL CAMERA BODY/ METAL & WOOD FILM HOLDERS/ GLASS LENS ELEMENT/ CLOTH SHUTTER/ LEATHER?/ WOOD CASE,http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.thumb.png,20,38,Manufacturer,43.161029999999997,-77.610921899999994,76,R,The United States
21,Camera,CAST STEEL/ GLASS LENS ELEMENTS,http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.thumb.png,21,42,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
22,"Holder, roll film",CAST STEEL,http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.thumb.png,22,43,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
23,Camera,CAST STEEL/ GLASS,http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.001.aa.cs.thumb.png,23,44,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
24,"Holder, roll film",CAST STEEL,http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.002.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0052.002.aa.cs.thumb.png,24,45,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
25,Camera,CAST STEEL/ GLASS LENS ELEMENTS/ WOOD HANDLES/ LEATHER,http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0053.001.aa.cs.thumb.png,27,48,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
26,"Holder, roll film",CAST STEEL/ PLATE VELVET COVERED,http://source.techno-science.ca/artifacts-artefacts/images/1966.0054.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0054.001.aa.cs.thumb.png,28,50,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
